Source (A),Source (B),Source (C),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
31,09,"Pay, took away ""hero pay"" 2 months into Covid-19, favoritism",11,99.00,50.00,85.21,99.00,11.00,9.09,63.64,18.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,18.18,0.00,9.09,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,9.09,0.00,9.09,0.00,0.00,27.27,0.00,18.18,9.09,18.18,0.00,0.00,18.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.45,0.00,18.18,0.00,0.00,0.00,0.00,9.09,18.18,0.00,0.00,0.00
32,08,It may seem that you're just another ant working.,9,1.00,98.62,4.97,25.77,9.00,22.22,88.89,66.67,44.44,11.11,0.00,0.00,11.11,0.00,0.00,33.33,0.00,0.00,22.22,11.11,0.00,0.00,44.44,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,22.22,11.11,0.00,0.00,22.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,11.11,0.00,0.00,0.00,0.00,22.22,11.11,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.22,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00
33,08,Nothing that I can see apart from working virtually due to COVID.,12,38.60,1.00,98.01,25.77,12.00,25.00,91.67,58.33,16.67,8.33,8.33,0.00,0.00,0.00,0.00,8.33,0.00,16.67,8.33,8.33,0.00,8.33,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,8.33,8.33,8.33,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,8.33,0.00,0.00,0.00,0.00,16.67,0.00,16.67,0.00,8.33,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34,09,"They intend you to be a machine, don't care about employees and do not follow covid-19 safe workplace guidelines.",20,25.89,50.00,3.37,99.00,20.00,20.00,75.00,50.00,10.00,10.00,0.00,0.00,5.00,0.00,5.00,0.00,5.00,10.00,15.00,5.00,5.00,10.00,25.00,5.00,0.00,0.00,5.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,10.00,0.00,5.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,5.00,0.00,5.00,0.00,25.00,0.00,5.00,5.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,5.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,0.00
35,08,"Stressful aspect of quotas and constant comparison to other warehouses, relatively unclear guidelines for time off and breaks, going to the bathroom takes away from your quota/time quality (?!)",29,98.67,63.49,86.38,1.00,29.00,31.03,79.31,44.83,6.90,3.45,0.00,0.00,3.45,0.00,0.00,3.45,3.45,24.14,0.00,3.45,6.90,0.00,6.90,3.45,3.45,0.00,0.00,0.00,3.45,0.00,3.45,3.45,0.00,0.00,3.45,0.00,0.00,0.00,0.00,6.90,0.00,0.00,0.00,3.45,0.00,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.45,0.00,0.00,0.00,3.45,0.00,0.00,3.45,3.45,24.14,3.45,10.34,10.34,3.45,3.45,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.14,0.00,6.90,0.00,0.00,3.45,3.45,0.00,0.00,0.00,6.90,3.45
36,08,Lots of rigid processes and red tape. Pretty disorganized in many ways. Terrible promo process.,15,97.53,50.00,1.00,1.00,5.00,26.67,60.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.33,0.00,0.00,6.67,0.00,0.00,20.00,0.00,0.00,0.00,13.33,20.00,6.67,13.33,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.33,0.00,0.00,0.00,13.33,0.00,0.00,6.67,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
37,08,Min. wage and gets slow,5,52.71,50.00,99.00,25.77,2.50,0.00,100.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,20.00,0.00,0.00,20.00,0.00,40.00,20.00,0.00,40.00,20.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
38,08,-finding public bathrooms because of COVID19,6,93.26,95.20,23.51,25.77,6.00,66.67,83.33,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,33.33,16.67,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00
39,08,The hours are long and you are on your feet on concrete all day/night.  I don’t mind it but it isn’t for everyone,24,6.95,50.00,99.00,25.77,12.00,8.33,91.67,66.67,25.00,12.50,4.17,0.00,8.33,0.00,0.00,12.50,4.17,12.50,16.67,0.00,8.33,8.33,16.67,0.00,0.00,0.00,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,8.33,8.33,0.00,0.00,0.00,0.00,4.17,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,25.00,0.00,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,4.17
40,08,"Warehouse workers that actually strive to do work are few and far between,",13,43.96,22.08,63.54,25.77,13.00,30.77,100.00,53.85,7.69,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,15.38,15.38,7.69,7.69,0.00,15.38,15.38,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.08,0.00,23.08,7.69,0.00,0.00,0.00,23.08,0.00,15.38,0.00,15.38,0.00,23.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
41,08,Lots of rigid processes and red tape. Pretty disorganized in many ways. Terrible promo process.,15,97.53,50.00,1.00,1.00,5.00,26.67,60.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.33,0.00,0.00,6.67,0.00,0.00,20.00,0.00,0.00,0.00,13.33,20.00,6.67,13.33,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.33,0.00,0.00,0.00,13.33,0.00,0.00,6.67,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
42,08,Min. wage and gets slow,5,52.71,50.00,99.00,25.77,2.50,0.00,100.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,20.00,0.00,0.00,20.00,0.00,40.00,20.00,0.00,40.00,20.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43,08,-finding public bathrooms because of COVID19,6,93.26,95.20,23.51,25.77,6.00,66.67,83.33,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,33.33,16.67,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00
44,08,The hours are long and you are on your feet on concrete all day/night.  I don’t mind it but it isn’t for everyone,24,6.95,50.00,99.00,25.77,12.00,8.33,91.67,66.67,25.00,12.50,4.17,0.00,8.33,0.00,0.00,12.50,4.17,12.50,16.67,0.00,8.33,8.33,16.67,0.00,0.00,0.00,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,8.33,8.33,0.00,0.00,0.00,0.00,4.17,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,25.00,0.00,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,4.17
45,08,"Warehouse workers that actually strive to do work are few and far between,",13,43.96,22.08,63.54,25.77,13.00,30.77,100.00,53.85,7.69,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,15.38,15.38,7.69,7.69,0.00,15.38,15.38,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.08,0.00,23.08,7.69,0.00,0.00,0.00,23.08,0.00,15.38,0.00,15.38,0.00,23.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
46,09,The shift assistant there that comes in at pick in stage time is quite rude like Every single day .,19,98.71,50.00,96.09,1.00,19.00,5.26,89.47,42.11,5.26,0.00,0.00,0.00,0.00,0.00,0.00,5.26,5.26,21.05,5.26,5.26,0.00,0.00,15.79,10.53,5.26,0.00,5.26,10.53,5.26,0.00,5.26,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,15.79,0.00,5.26,0.00,5.26,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.79,0.00,31.58,5.26,15.79,10.53,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
47,08,Covid 19 has made the company more popular due to the Research and Development rendered by Amazon,17,99.00,88.03,1.00,98.87,17.00,29.41,76.47,35.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.76,11.76,5.88,0.00,5.88,0.00,11.76,11.76,5.88,0.00,5.88,5.88,5.88,5.88,0.00,0.00,0.00,0.00,11.76,0.00,0.00,0.00,0.00,5.88,0.00,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.88,5.88,0.00,5.88,0.00,0.00,5.88,17.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
48,08,should pay more during covid 19. Risking getting the virus left and right.,13,93.26,50.00,17.46,1.00,6.50,15.38,76.92,30.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,7.69,7.69,0.00,7.69,0.00,23.08,7.69,7.69,0.00,7.69,7.69,7.69,0.00,7.69,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.38,0.00,0.00,0.00,7.69,7.69,7.69,0.00,0.00,23.08,0.00,15.38,7.69,7.69,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.38,15.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49,08,"Was good until this Covid19 pandemic came out. Too many workers on the market causing a supply and demand curve skew for current workers, which has been making Process assistants and managers more childish than usual, a person can't even do production anymore.",43,74.74,32.10,49.53,69.60,21.50,27.91,83.72,46.51,6.98,0.00,0.00,0.00,0.00,0.00,0.00,6.98,6.98,11.63,9.30,4.65,6.98,2.33,13.95,6.98,4.65,2.33,0.00,4.65,2.33,2.33,0.00,0.00,0.00,0.00,2.33,0.00,0.00,0.00,0.00,11.63,0.00,6.98,0.00,0.00,0.00,4.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.63,0.00,4.65,9.30,2.33,0.00,6.98,9.30,0.00,16.28,2.33,4.65,9.30,13.95,0.00,0.00,2.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.63,4.65,4.65,0.00,0.00,0.00,0.00,0.00,0.00,2.33,0.00,0.00
50,08,Low pay. Benefits aren't good enough to make up for it. Treated like slaves during Covid,16,99.00,10.58,74.76,99.00,5.33,12.50,81.25,43.75,6.25,0.00,0.00,0.00,0.00,0.00,0.00,6.25,0.00,31.25,6.25,0.00,0.00,6.25,12.50,0.00,6.25,0.00,0.00,0.00,18.75,12.50,6.25,0.00,0.00,6.25,0.00,0.00,0.00,0.00,0.00,12.50,0.00,6.25,0.00,0.00,0.00,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.25,0.00,0.00,18.75,12.50,0.00,0.00,12.50,0.00,18.75,0.00,12.50,6.25,12.50,0.00,0.00,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.75,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,0.00,0.00
51,08,"-Two short breaks within 10.5 hours of work time
-work is repetitive and can be slow at times
-normal schedules are work 4 days, rest for 3. They will throw in a mandatory week and make you work 10+ days in a row.
-Management/HR does NOT care about their workers. You are just a worker ant they can dispose of anytime they want to and will not address schedule and health concerns.
-Don't work here if you don't have good shoes and aren't used to hard labor. 
-Micro managers keep track of how you do your job and you're either marked as a decent worker or a bad one. People are lucky to be labeled as decent. The rest are fired to let new employees in
-Management just roams throughout the workday. Hard to find if you are in need of help
-Bad food in break room. Be wary about the cold foods. I bought cold pasta and it turned out to be bad.
-I heard amazon gives workers $75 zappos credit to buy shoes but they didn't send my paperwork to zappos to actually make this happen.",189,61.31,60.44,37.24,45.20,15.75,10.05,87.83,48.68,8.99,7.94,1.59,0.00,3.70,0.00,2.65,1.06,4.23,14.29,12.17,3.70,7.41,3.17,19.05,6.35,1.59,0.53,3.70,0.53,5.29,3.17,2.12,0.00,0.00,0.00,8.99,0.00,0.00,0.00,0.00,10.05,0.53,2.12,2.12,2.65,0.00,5.29,2.65,0.00,0.53,2.12,3.17,1.06,0.53,0.00,1.59,10.05,0.53,4.76,4.76,1.06,1.59,2.65,18.52,1.06,13.76,2.12,5.29,6.35,11.11,0.00,1.06,1.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.87,6.35,0.53,0.00,0.00,0.00,0.00,4.76,0.00,2.65,0.00,1.59
52,08,"long hours, hot warehouse, repetitive work standing in 1 place, no sitting, mandatory overtime with little notice, difficult to move up in the company, very high expectations, faulty equipment, little if any downtime.",33,98.34,38.08,99.00,1.00,33.00,33.33,84.85,27.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.03,15.15,0.00,3.03,3.03,3.03,9.09,9.09,0.00,0.00,3.03,3.03,6.06,0.00,6.06,0.00,0.00,0.00,3.03,0.00,0.00,0.00,0.00,12.12,3.03,0.00,6.06,6.06,0.00,3.03,3.03,0.00,0.00,3.03,0.00,0.00,0.00,0.00,0.00,15.15,0.00,3.03,6.06,0.00,6.06,0.00,9.09,3.03,39.39,3.03,30.30,6.06,12.12,0.00,0.00,3.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.27,3.03,24.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
53,07,"Physically demanding depending on placement, can be monotonous work.",9,75.90,50.00,58.07,25.77,9.00,55.56,88.89,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,22.22,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,11.11,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,11.11,0.00,0.00,22.22,0.00,11.11,11.11,0.00,0.00,0.00,33.33,0.00,22.22,0.00,22.22,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.22,11.11,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
54,07,I heard they over work you.,6,18.82,99.00,98.01,25.77,6.00,0.00,100.00,66.67,50.00,50.00,16.67,0.00,16.67,0.00,16.67,0.00,0.00,16.67,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,16.67,16.67,0.00,0.00,16.67,16.67,0.00,16.67,0.00,16.67,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
55,06,"Not as many official holidays as other companies
The idea of ""Amazon is a thousand small start-ups"" is not really true - everything is done under the mega Amazon umbrella",29,69.54,4.25,69.96,85.87,29.00,24.14,86.21,55.17,6.90,0.00,0.00,0.00,0.00,0.00,0.00,6.90,10.34,13.79,13.79,3.45,6.90,6.90,13.79,13.79,6.90,0.00,3.45,3.45,3.45,3.45,0.00,0.00,0.00,0.00,3.45,0.00,0.00,0.00,0.00,24.14,3.45,0.00,0.00,0.00,6.90,13.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.34,0.00,0.00,10.34,0.00,0.00,3.45,10.34,0.00,6.90,0.00,6.90,0.00,6.90,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.79,0.00,0.00,0.00,0.00,0.00,0.00,6.90,6.90,0.00,0.00,0.00
56,07,Find the right division so you can truly thrive.,9,4.69,98.62,58.07,99.00,9.00,11.11,77.78,55.56,11.11,11.11,0.00,0.00,11.11,0.00,0.00,0.00,11.11,0.00,11.11,22.22,11.11,0.00,11.11,0.00,0.00,0.00,0.00,0.00,11.11,11.11,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,22.22,11.11,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.22,0.00,11.11,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
57,07,"Expectations are high. The team is supportive but you will have to take the initiative to get involved, ask questions, and take ownership very early. Onboarding can be rogue so you'll need to figure it out on your own.",39,43.96,98.93,17.46,73.64,13.00,17.95,92.31,53.85,10.26,7.69,0.00,0.00,7.69,0.00,0.00,2.56,5.13,12.82,17.95,5.13,7.69,0.00,28.21,7.69,0.00,0.00,0.00,0.00,2.56,2.56,0.00,0.00,0.00,0.00,17.95,0.00,0.00,0.00,0.00,15.38,5.13,2.56,5.13,2.56,0.00,2.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.95,2.56,5.13,5.13,7.69,0.00,0.00,25.64,7.69,12.82,0.00,7.69,5.13,2.56,2.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.38,7.69,5.13,0.00,0.00,0.00,0.00,0.00,0.00,2.56,0.00,0.00
58,06,Apparently The pay isn't as high as Google or Apple? though I'm fine with it. I don't really have any other comparable frame of reference and I can make rent and save for retirement so to me it's fair,39,2.41,1.00,88.50,99.00,13.00,10.26,92.31,64.10,17.95,10.26,10.26,0.00,0.00,0.00,0.00,7.69,2.56,15.38,15.38,10.26,17.95,5.13,17.95,15.38,7.69,0.00,0.00,2.56,7.69,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.08,2.56,2.56,0.00,7.69,0.00,12.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.56,0.00,0.00,2.56,0.00,0.00,0.00,20.51,0.00,2.56,0.00,2.56,0.00,5.13,0.00,2.56,5.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.38,2.56,0.00,0.00,0.00,2.56,0.00,0.00,0.00,10.26,0.00,0.00
59,06,"I was hired as a seasonal full time overnights FC associate. Due to covid, talking with HR about anything is complicated. The environment at amazon is much different than anywhere else I’ve ever worked. Most come in, do their job and leave. No attempts to make friends and will hardly even make eye contact with you when you’re walking by. Not the job for making friends or social butterflies. Things like benefits are not explained, this could be due to covid but it shouldn’t matter. I was never explained how to leave a shift properly if I get sick and need to bail early during a shift even.",108,43.76,32.18,83.53,25.77,13.50,18.52,89.81,54.63,10.19,6.48,3.70,0.00,1.85,0.00,0.93,3.70,4.63,14.81,11.11,8.33,8.33,4.63,25.00,7.41,4.63,1.85,0.00,1.85,1.85,0.93,0.93,0.00,0.00,0.00,9.26,0.00,2.78,0.00,0.00,22.22,2.78,3.70,3.70,5.56,1.85,7.41,1.85,0.93,0.00,0.00,2.78,0.93,0.93,0.00,0.93,7.41,3.70,0.93,0.93,1.85,0.00,5.56,12.96,0.93,16.67,3.70,4.63,8.33,6.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.96,7.41,2.78,0.00,0.00,0.00,0.00,0.00,0.00,2.78,0.00,0.00
60,07,"During covid they Make you wear the mask even when you are not around anyone. When temps excess 100° and you are running up 3 story apartments wearing a mask gets dangerous. but if someone on their couch sees you without one they report you and you get in trouble. And they say well its part of the uniform now. I am pro mask, but when no one is around and they see me on a camera and report me and i get in trouble is just mad. This company does not care about your saftey",96,10.46,85.13,62.53,4.56,16.00,10.42,87.50,62.50,20.83,16.67,4.17,0.00,7.29,0.00,5.21,4.17,4.17,11.46,6.25,10.42,12.50,4.17,17.71,1.04,0.00,3.12,4.17,1.04,6.25,2.08,4.17,0.00,1.04,0.00,17.71,0.00,0.00,0.00,0.00,9.38,0.00,1.04,1.04,3.12,0.00,6.25,3.12,2.08,1.04,0.00,2.08,2.08,0.00,0.00,0.00,7.29,0.00,0.00,1.04,3.12,3.12,0.00,16.67,0.00,13.54,1.04,7.29,5.21,3.12,1.04,2.08,0.00,0.00,0.00,1.04,0.00,0.00,0.00,1.04,0.00,7.29,5.21,1.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.04
61,07,"Everything else:
Bad Management
Bad Employee treatment
Inflexible Hours
Inconsistency
Physically Demanding
Employees = Machines
Standing for 8 hours straight 
Sometimes they forgot to give you the 2nd 15 min breaks
Bad Covid-19 PPE rules and precautions; no changes are made
Cases keeps on piling up without any change/action.",50,91.20,57.92,69.14,1.00,50.00,32.00,70.00,24.00,6.00,4.00,0.00,0.00,2.00,0.00,2.00,2.00,2.00,10.00,2.00,0.00,2.00,4.00,10.00,2.00,0.00,0.00,6.00,2.00,6.00,0.00,6.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,16.00,0.00,6.00,0.00,4.00,2.00,4.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,18.00,0.00,0.00,12.00,0.00,6.00,4.00,6.00,0.00,20.00,6.00,6.00,8.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,2.00,0.00,2.00,2.00,0.00,0.00,2.00,0.00,0.00,0.00,4.00
