Source (A),Source (B),Source (C),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
32,08,Self directed work. A ton of learning opportunities which is a double edged sword.,14,97.73,76.25,13.15,99.00,7.00,21.43,85.71,35.71,7.14,0.00,0.00,0.00,0.00,0.00,0.00,7.14,14.29,7.14,7.14,0.00,0.00,0.00,14.29,0.00,0.00,7.14,7.14,14.29,7.14,7.14,0.00,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,7.14,7.14,0.00,0.00,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,14.29,0.00,7.14,0.00,0.00,14.29,0.00,7.14,0.00,7.14,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33,08,"-Good pay for no experience/qualifications 
-Career choice program can give you qualifications",13,65.46,93.79,1.40,99.00,13.00,30.77,100.00,30.77,7.69,7.69,0.00,0.00,7.69,0.00,0.00,0.00,0.00,7.69,7.69,0.00,0.00,7.69,7.69,0.00,0.00,0.00,0.00,0.00,7.69,7.69,0.00,0.00,0.00,0.00,15.38,0.00,0.00,0.00,0.00,7.69,7.69,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,7.69,0.00,0.00,15.38,0.00,0.00,0.00,0.00,0.00,38.46,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.08,0.00,0.00,0.00,0.00,0.00,0.00,15.38,0.00,0.00,0.00,7.69
34,09,"Pay, insurance, food, benefits, leave services, and paid time off",10,93.26,50.00,93.30,99.00,10.00,30.00,100.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,10.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,10.00,10.00,0.00,0.00,0.00,10.00,0.00,10.00,10.00,0.00,30.00,10.00,10.00,10.00,30.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35,08,"- My team is very supportive 
- Flexible work hours, and time management focused on results rather than filling time quotas. 
- Can be self-directed
- Good stock options",26,54.88,35.01,83.83,99.00,13.00,30.77,88.46,34.62,3.85,3.85,3.85,0.00,0.00,0.00,0.00,0.00,0.00,7.69,11.54,7.69,3.85,0.00,7.69,7.69,3.85,0.00,0.00,0.00,11.54,11.54,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,15.38,0.00,3.85,3.85,3.85,0.00,7.69,3.85,0.00,0.00,3.85,0.00,0.00,0.00,0.00,0.00,15.38,3.85,7.69,3.85,3.85,0.00,0.00,15.38,0.00,19.23,0.00,7.69,11.54,15.38,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.92,3.85,3.85,0.00,0.00,0.00,0.00,19.23,0.00,0.00,0.00,0.00
36,08,"Exercise, benefits, overtime pay, very diverse workforce, an unimaginable amount of open doors to other job types and positions",19,93.26,29.92,50.35,97.58,19.00,36.84,78.95,31.58,5.26,0.00,0.00,0.00,0.00,0.00,0.00,5.26,5.26,10.53,0.00,5.26,5.26,0.00,5.26,0.00,0.00,0.00,0.00,5.26,5.26,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,5.26,0.00,5.26,0.00,0.00,5.26,0.00,0.00,0.00,5.26,0.00,0.00,5.26,0.00,15.79,0.00,15.79,0.00,21.05,5.26,5.26,10.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.05,0.00,21.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
37,08,Scholarship for career changes; Strict Covid19 policies.,7,99.00,50.00,13.15,25.77,7.00,57.14,85.71,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,14.29,14.29,0.00,0.00,42.86,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,14.29,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00
38,08,Good projects for SDE Intern,5,99.00,50.00,1.00,99.00,5.00,20.00,80.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
39,08,"Average salary
No experience
Sign in bonus
Benefits after 6 months",11,98.34,18.16,85.21,99.00,11.00,27.27,81.82,27.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,0.00,0.00,0.00,9.09,0.00,18.18,9.09,0.00,9.09,9.09,18.18,18.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,0.00,9.09,0.00,18.18,0.00,0.00,0.00,0.00,27.27,0.00,9.09,18.18,18.18,0.00,0.00,18.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
40,08,"People care about each other, fun work, safe and very clean despite covid scares",14,68.29,23.75,13.15,99.00,14.00,7.14,92.86,35.71,7.14,0.00,0.00,0.00,0.00,0.00,0.00,7.14,0.00,14.29,0.00,14.29,7.14,0.00,14.29,21.43,0.00,0.00,0.00,7.14,28.57,21.43,7.14,7.14,0.00,0.00,7.14,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,7.14,0.00,0.00,7.14,0.00,21.43,0.00,0.00,0.00,0.00,0.00,7.14,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
41,08,This is a great company to work.,7,93.26,92.33,1.00,99.00,7.00,14.29,100.00,57.14,14.29,0.00,0.00,0.00,0.00,0.00,0.00,14.29,14.29,14.29,14.29,0.00,0.00,0.00,14.29,14.29,0.00,0.00,0.00,0.00,14.29,14.29,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,0.00,14.29,0.00,14.29,0.00,0.00,28.57,0.00,0.00,0.00,0.00,0.00,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
42,08,benefits are good make friends,5,52.71,97.69,1.00,99.00,5.00,40.00,100.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,40.00,40.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00,0.00,20.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,20.00,0.00,0.00,40.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43,08,"Great Benefits and Great People, they always bring Hope to new Workers and new Hope to Current Workers. I call Amazon The New America! We Let anyone in, like the Statue of Liberty.",33,93.26,93.50,31.94,99.00,11.00,18.18,90.91,42.42,12.12,9.09,3.03,3.03,0.00,0.00,3.03,3.03,6.06,15.15,3.03,0.00,6.06,0.00,12.12,15.15,3.03,0.00,0.00,0.00,18.18,18.18,0.00,0.00,0.00,0.00,15.15,0.00,0.00,0.00,0.00,12.12,0.00,0.00,6.06,9.09,3.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,3.03,6.06,6.06,9.09,0.00,0.00,12.12,6.06,21.21,3.03,3.03,15.15,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.15,6.06,6.06,0.00,0.00,0.00,3.03,0.00,0.00,0.00,0.00,0.00
44,08,"Regular schedule, but mandatory overtime so not really",8,1.00,1.00,99.00,25.77,8.00,50.00,87.50,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,25.00,12.50,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.50,0.00,0.00,0.00,0.00,0.00,37.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,12.50,25.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
45,08,Pays Well and Maintains Safe Workplace,6,18.82,50.00,1.00,99.00,6.00,33.33,66.67,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,16.67,0.00,0.00,16.67,0.00,0.00,0.00,0.00,33.33,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,16.67,0.00,0.00,16.67,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
46,09,"Good benefits, time off weekly accruals. Some operations managers are nice as well as ambassadors.",15,84.62,50.00,43.37,99.00,7.50,33.33,86.67,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,6.67,6.67,13.33,0.00,6.67,20.00,13.33,0.00,0.00,6.67,26.67,26.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,6.67,0.00,0.00,20.00,0.00,0.00,6.67,13.33,0.00,0.00,6.67,0.00,20.00,0.00,6.67,13.33,20.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,6.67,0.00,20.00,13.33,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
47,08,The pay is good and lots of ways to move up after a year working at tier 1,18,99.00,50.00,87.07,98.27,18.00,5.56,83.33,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,27.78,5.56,0.00,5.56,0.00,16.67,5.56,5.56,0.00,5.56,5.56,5.56,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.56,0.00,0.00,0.00,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,5.56,5.56,5.56,0.00,0.00,11.11,0.00,27.78,5.56,11.11,11.11,11.11,0.00,0.00,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
48,08,"Pay is $15 + Possible premium for your shift time
Trained (2) days on an mentally easy to understand task
You pick your schedule
Workout
Not hot (A/C or fans)
PEOPLE here help you if you are lost. Super kind associates!!
You get an extra 5 minutes to your break to leave and come back  to your post (warehouse is HUGE)
I’m excited to have work during an epidemic",69,74.82,97.02,72.78,93.61,23.00,17.39,85.51,44.93,13.04,13.04,1.45,0.00,11.59,0.00,0.00,0.00,5.80,11.59,7.25,2.90,4.35,1.45,15.94,7.25,0.00,0.00,4.35,1.45,7.25,5.80,1.45,0.00,0.00,1.45,14.49,0.00,0.00,0.00,0.00,8.70,1.45,1.45,1.45,4.35,0.00,4.35,1.45,0.00,0.00,1.45,2.90,0.00,2.90,0.00,0.00,11.59,2.90,4.35,2.90,2.90,0.00,1.45,15.94,0.00,18.84,2.90,5.80,8.70,7.25,1.45,0.00,1.45,0.00,1.45,0.00,0.00,0.00,0.00,0.00,0.00,18.84,1.45,0.00,0.00,0.00,0.00,2.90,0.00,0.00,1.45,8.70,4.35
49,08,"I'm working for AWS over a year now, and after few months due to the COVID-19 I had a family emergency. Amazon stood next to me all of that time! My manager helped me to be with my family and on the same time not to lose my job.

They want you to advance your career all the time and there are so many opportunities.

Everyone on Amazon willing to share their knowledge.",74,79.41,55.37,89.05,51.03,14.80,10.81,91.89,55.41,17.57,14.86,9.46,0.00,2.70,0.00,2.70,2.70,6.76,17.57,5.41,4.05,5.41,1.35,12.16,6.76,2.70,0.00,1.35,5.41,5.41,2.70,1.35,0.00,0.00,1.35,10.81,2.70,0.00,0.00,0.00,8.11,1.35,0.00,1.35,0.00,4.05,1.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.51,4.05,5.41,2.70,4.05,1.35,4.05,9.46,0.00,17.57,1.35,4.05,12.16,5.41,2.70,2.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.81,5.41,1.35,0.00,0.00,0.00,1.35,1.35,0.00,1.35,0.00,0.00
50,08,"-Keeps you busy
-keeps you active
-has a big break room with free coffee
-workers are nice they are willing to help you if you are lost since the building is so huge
-Work is easily repetitive",37,40.48,99.00,36.43,99.00,37.00,10.81,97.30,48.65,13.51,13.51,0.00,0.00,10.81,0.00,2.70,0.00,5.41,8.11,16.22,2.70,5.41,0.00,24.32,16.22,0.00,0.00,0.00,0.00,16.22,10.81,2.70,0.00,0.00,2.70,16.22,0.00,0.00,0.00,0.00,5.41,0.00,2.70,2.70,2.70,0.00,2.70,0.00,0.00,0.00,0.00,2.70,0.00,0.00,0.00,2.70,18.92,2.70,8.11,10.81,2.70,0.00,2.70,24.32,0.00,18.92,0.00,8.11,8.11,8.11,2.70,2.70,2.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.51,0.00,0.00,0.00,0.00,0.00,0.00,13.51,0.00,0.00,0.00,0.00
51,08,"-Keeps you busy
-keeps you active
-has a big break room with free coffee
-workers are nice they are willing to help you if you are lost since the building is so huge
-Work is easily repetitive",37,40.48,99.00,36.43,99.00,37.00,10.81,97.30,48.65,13.51,13.51,0.00,0.00,10.81,0.00,2.70,0.00,5.41,8.11,16.22,2.70,5.41,0.00,24.32,16.22,0.00,0.00,0.00,0.00,16.22,10.81,2.70,0.00,0.00,2.70,16.22,0.00,0.00,0.00,0.00,5.41,0.00,2.70,2.70,2.70,0.00,2.70,0.00,0.00,0.00,0.00,2.70,0.00,0.00,0.00,2.70,18.92,2.70,8.11,10.81,2.70,0.00,2.70,24.32,0.00,18.92,0.00,8.11,8.11,8.11,2.70,2.70,2.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.51,0.00,0.00,0.00,0.00,0.00,0.00,13.51,0.00,0.00,0.00,0.00
52,08,"Good starting pay, plenty of time off",7,99.00,50.00,99.00,99.00,7.00,14.29,100.00,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,14.29,14.29,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,42.86,0.00,14.29,28.57,14.29,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
53,07,"Time off, benefits, pays for education, training on site, remained open during Covid-19 ( locations may vary)",17,99.00,50.00,99.00,98.87,17.00,29.41,76.47,29.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.53,5.88,0.00,0.00,0.00,17.65,0.00,0.00,0.00,5.88,0.00,5.88,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.76,0.00,0.00,0.00,11.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.76,0.00,0.00,5.88,5.88,0.00,0.00,11.76,5.88,41.18,0.00,29.41,11.76,17.65,0.00,0.00,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.18,0.00,23.53,0.00,0.00,0.00,0.00,5.88,0.00,0.00,11.76,0.00
54,07,Good benefits from what I hear and cool pay,9,46.37,50.00,4.97,99.00,9.00,11.11,100.00,44.44,22.22,11.11,11.11,0.00,0.00,0.00,0.00,11.11,0.00,11.11,0.00,0.00,11.11,0.00,11.11,11.11,0.00,11.11,0.00,0.00,33.33,33.33,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.22,0.00,11.11,11.11,0.00,0.00,0.00,0.00,0.00,22.22,0.00,0.00,0.00,22.22,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,22.22,0.00,0.00,11.11,0.00,0.00,11.11,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
55,06,"Handled COVID really well, went to work from home immediately
Onboarded virtually and have been virtual for my entire tenure so far (4 months)
My team has been very welcoming and understanding when it comes to working long hours and comp'ing that time later
People actually work by the Leadership Principles
The hiring process is the best I have ever been involved in
Customer obsession is a real thing, even if everyone carries it out a bit different",79,37.74,44.98,82.39,73.09,79.00,22.78,88.61,53.16,10.13,3.80,3.80,0.00,0.00,0.00,0.00,6.33,6.33,8.86,10.13,12.66,7.59,0.00,16.46,6.33,3.80,1.27,1.27,2.53,5.06,3.80,1.27,1.27,0.00,0.00,7.59,0.00,0.00,0.00,0.00,11.39,1.27,0.00,1.27,2.53,3.80,5.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.86,2.53,7.59,2.53,1.27,0.00,5.06,11.39,0.00,17.72,3.80,5.06,8.86,10.13,1.27,1.27,1.27,0.00,0.00,1.27,0.00,0.00,0.00,1.27,0.00,6.33,0.00,2.53,0.00,0.00,0.00,0.00,0.00,0.00,1.27,2.53,0.00
56,07,"Amazon is a company that really cares. The media will have you believe otherwise. Throughout this COVID 19 pandemic, the pivots for hiring and safety has been tangible. My recruiter was amazing and she helped me every step of the way. I left this company for the first time a few years ago, but I am happy to be back and look forward to a long future here.",68,59.32,38.42,81.91,98.87,13.60,14.71,89.71,55.88,13.24,8.82,5.88,0.00,1.47,1.47,0.00,4.41,10.29,8.82,11.76,4.41,7.35,0.00,20.59,4.41,0.00,0.00,2.94,2.94,5.88,5.88,0.00,0.00,0.00,0.00,5.88,0.00,0.00,1.47,0.00,7.35,1.47,0.00,0.00,0.00,1.47,4.41,1.47,1.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.94,0.00,1.47,0.00,0.00,1.47,7.35,11.76,2.94,16.18,2.94,7.35,10.29,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.29,7.35,2.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
57,07,"It really depends on what team you are on, but I get to work on very innovative products and solve interesting problems. 
There are a lot of processes or frameworks in place that I appreciate because it organizes how we organize our work and priorities. There is little that falls through the cracks. 
Management is really compassionate about COVID and BLM and being very considerate of people's mental health. They are very good about recognizing and rewarding the team.",79,28.00,73.66,36.87,99.00,15.80,24.05,91.14,58.23,13.92,7.59,2.53,2.53,1.27,0.00,1.27,6.33,3.80,12.66,7.59,12.66,11.39,0.00,12.66,2.53,0.00,2.53,0.00,1.27,8.86,7.59,1.27,0.00,0.00,0.00,10.13,0.00,0.00,0.00,0.00,16.46,3.80,6.33,1.27,3.80,0.00,5.06,0.00,0.00,0.00,0.00,1.27,0.00,1.27,0.00,0.00,16.46,6.33,7.59,1.27,3.80,1.27,0.00,15.19,0.00,8.86,1.27,7.59,0.00,10.13,2.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.86,6.33,1.27,0.00,0.00,0.00,0.00,0.00,0.00,1.27,0.00,0.00
58,06,"There's a real passion here for the work we do that I enjoy immensely, and so much freedom to operate even at the lowest level. My manager (and I understand that I lucked out and not all managers are as good) doesn't micromanage but points me in the right direction so I can exercise my judgement.


My coworkers are all intimidatingly smart and always willing to help, and so are the cross functional teams (PM, TPMS, other system owners). The re's specific structures set up for new engineers to learn and it helps immensely. At my last job I feel like I was not really treated as a human being, but here I operate free of stress even when there's deadlines to meet

The company's also been super accommodating during the pandemic about working from home and enabling us to still be able to function well.",146,41.47,24.66,72.89,95.96,29.20,19.18,86.99,56.16,12.33,9.59,8.22,1.37,0.00,0.00,0.00,2.74,6.16,13.70,8.22,10.27,10.96,2.05,11.64,6.16,2.74,0.68,0.00,2.05,9.59,6.85,2.05,0.68,0.68,0.68,6.16,0.00,0.00,0.00,0.00,10.27,2.05,0.68,0.00,0.68,2.74,4.11,0.68,0.00,0.00,0.68,2.74,0.00,2.05,0.68,0.00,13.01,4.11,4.11,4.79,1.37,0.00,2.05,10.27,0.00,10.27,0.00,6.16,4.11,7.53,1.37,0.68,0.68,0.00,0.00,0.68,0.00,0.00,0.00,0.68,0.00,13.01,3.42,3.42,0.00,0.00,0.00,0.00,0.00,0.00,3.42,2.74,0.00
59,06,The pay is very competitive and good. Not sure about benefits yet but I’ve heard they’re good. Dave is giving us all a bonus this month so that’s a huge pro,31,6.71,62.65,39.18,99.00,10.33,6.45,93.55,54.84,12.90,6.45,3.23,3.23,0.00,0.00,0.00,6.45,9.68,3.23,16.13,12.90,9.68,3.23,22.58,0.00,0.00,0.00,0.00,3.23,19.35,19.35,0.00,0.00,0.00,0.00,12.90,0.00,0.00,0.00,0.00,12.90,0.00,0.00,0.00,0.00,6.45,6.45,3.23,0.00,3.23,0.00,0.00,0.00,0.00,0.00,0.00,22.58,3.23,6.45,6.45,12.90,0.00,3.23,16.13,0.00,9.68,0.00,3.23,6.45,9.68,0.00,0.00,6.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.13,6.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.68,0.00,0.00
60,07,15-18$ an hour. Mindless work.,6,99.00,50.00,23.51,25.77,3.00,16.67,50.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,16.67,0.00,0.00,0.00,0.00,16.67,0.00,16.67,0.00,0.00,16.67,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.67,33.33,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,16.67
61,07,"You get paid $15 per hour minimum wage hourly
Chances to get overtime with a tap of a button",19,99.00,85.38,4.05,25.77,19.00,15.79,68.42,31.58,5.26,5.26,0.00,0.00,5.26,0.00,0.00,0.00,10.53,15.79,0.00,0.00,0.00,0.00,15.79,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.53,0.00,0.00,0.00,10.53,0.00,5.26,10.53,0.00,10.53,0.00,0.00,10.53,10.53,0.00,0.00,15.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26
62,06,"Fast paced, great for starting out managements with great benefits.",10,99.00,50.00,93.30,99.00,10.00,30.00,90.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,10.00,20.00,0.00,0.00,0.00,0.00,30.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,10.00,30.00,0.00,0.00,0.00,0.00,30.00,10.00,10.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
63,05,Everyday is different. This job turns you into a master critical thinker.,12,62.04,79.76,99.00,1.00,6.00,33.33,100.00,50.00,25.00,8.33,0.00,0.00,8.33,0.00,0.00,16.67,8.33,8.33,8.33,0.00,0.00,0.00,16.67,8.33,8.33,0.00,0.00,0.00,8.33,0.00,8.33,0.00,8.33,0.00,8.33,0.00,0.00,0.00,0.00,25.00,8.33,0.00,0.00,0.00,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,8.33,0.00,0.00,0.00,16.67,0.00,25.00,8.33,8.33,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
